/home/ubuntu/miniconda3/lib/python3.6/site-packages/urllib3/contrib/pyopenssl.py:46: DeprecationWarning: OpenSSL.rand is deprecated - you should use os.urandom instead
  import OpenSSL.SSL
INFO:root:Namespace(aug_level=2, batch_size=256, bn_mom=0.9, data_dir='data/imagenet', data_type='imagenet', depth=152, frequent=50, gpus='0,1,2,3,4,5,6,7', kv_store='device', list_dir='./', lr=0.1, memonger=False, model_load_epoch=0, mom=0.9, num_classes=1000, num_examples=1281167, retrain=False, wd=0.0001, workspace=512)
[07:54:35] src/io/iter_image_recordio_2.cc:153: ImageRecordIOParser2: data/imagenet/train_480_q90.rec, use 4 threads for decoding..
[07:54:57] src/io/iter_image_recordio_2.cc:153: ImageRecordIOParser2: data/imagenet/val_256_q90.rec, use 4 threads for decoding..
train_resnet.py:124: DeprecationWarning: [91mmxnet.model.FeedForward has been deprecated. Please use mxnet.mod.Module instead.[0m
  multi_factor_scheduler(begin_epoch, epoch_size, step=[30, 60, 90], factor=0.1),
/home/ubuntu/mxnet/python/mxnet/model.py:547: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
/home/ubuntu/mxnet/python/mxnet/model.py:553: DeprecationWarning: [91mCalling initializer with init(str, NDArray) has been deprecated.please use init(mx.init.InitDesc(...), NDArray) instead.[0m
  self.initializer(k, v)
INFO:root:Start training with [gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)]
[07:55:01] src/operator/././cudnn_algoreg-inl.h:112: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [3600]	Speed: 155.27 samples/sec	accuracy=0.090078	top_k_accuracy_5=0.243906
INFO:root:Epoch[0] Batch [3650]	Speed: 155.26 samples/sec	accuracy=0.095937	top_k_accuracy_5=0.242578
INFO:root:Epoch[0] Batch [3700]	Speed: 155.26 samples/sec	accuracy=0.099297	top_k_accuracy_5=0.247344
INFO:root:Epoch[0] Batch [3750]	Speed: 155.28 samples/sec	accuracy=0.101406	top_k_accuracy_5=0.254609
INFO:root:Epoch[0] Batch [3800]	Speed: 155.25 samples/sec	accuracy=0.105547	top_k_accuracy_5=0.257969
INFO:root:Epoch[0] Batch [3850]	Speed: 155.25 samples/sec	accuracy=0.106328	top_k_accuracy_5=0.264766
INFO:root:Epoch[0] Batch [3900]	Speed: 155.32 samples/sec	accuracy=0.102266	top_k_accuracy_5=0.258672
INFO:root:Epoch[0] Batch [3950]	Speed: 155.27 samples/sec	accuracy=0.107578	top_k_accuracy_5=0.269375
INFO:root:Epoch[0] Batch [4000]	Speed: 155.33 samples/sec	accuracy=0.110078	top_k_accuracy_5=0.270078
INFO:root:Epoch[0] Batch [4050]	Speed: 155.23 samples/sec	accuracy=0.110625	top_k_accuracy_5=0.272188
INFO:root:Epoch[0] Batch [4100]	Speed: 155.26 samples/sec	accuracy=0.106250	top_k_accuracy_5=0.268984
INFO:root:Epoch[0] Batch [4150]	Speed: 155.28 samples/sec	accuracy=0.111875	top_k_accuracy_5=0.276953
INFO:root:Epoch[0] Batch [4200]	Speed: 155.28 samples/sec	accuracy=0.116797	top_k_accuracy_5=0.282656
INFO:root:Epoch[0] Batch [4250]	Speed: 155.29 samples/sec	accuracy=0.119063	top_k_accuracy_5=0.278125
INFO:root:Epoch[0] Batch [4300]	Speed: 155.27 samples/sec	accuracy=0.116875	top_k_accuracy_5=0.281016
INFO:root:Epoch[0] Batch [4350]	Speed: 155.26 samples/sec	accuracy=0.125156	top_k_accuracy_5=0.293672
INFO:root:Epoch[0] Batch [4400]	Speed: 155.28 samples/sec	accuracy=0.120625	top_k_accuracy_5=0.292422
INFO:root:Epoch[0] Batch [4450]	Speed: 155.32 samples/sec	accuracy=0.122813	top_k_accuracy_5=0.300781
INFO:root:Epoch[0] Batch [4500]	Speed: 155.26 samples/sec	accuracy=0.121328	top_k_accuracy_5=0.295156
INFO:root:Epoch[0] Batch [4550]	Speed: 155.26 samples/sec	accuracy=0.123047	top_k_accuracy_5=0.304844
INFO:root:Epoch[0] Batch [4600]	Speed: 155.27 samples/sec	accuracy=0.127656	top_k_accuracy_5=0.300391
INFO:root:Epoch[0] Batch [4650]	Speed: 155.27 samples/sec	accuracy=0.125312	top_k_accuracy_5=0.304531
INFO:root:Epoch[0] Batch [4700]	Speed: 155.22 samples/sec	accuracy=0.125000	top_k_accuracy_5=0.302891
INFO:root:Epoch[0] Batch [4750]	Speed: 155.30 samples/sec	accuracy=0.132109	top_k_accuracy_5=0.310859
INFO:root:Epoch[0] Batch [4800]	Speed: 155.35 samples/sec	accuracy=0.135234	top_k_accuracy_5=0.313047
INFO:root:Epoch[0] Batch [4850]	Speed: 155.30 samples/sec	accuracy=0.142656	top_k_accuracy_5=0.317266
INFO:root:Epoch[0] Batch [4900]	Speed: 155.27 samples/sec	accuracy=0.133203	top_k_accuracy_5=0.323750
INFO:root:Epoch[0] Batch [4950]	Speed: 155.30 samples/sec	accuracy=0.138750	top_k_accuracy_5=0.320859
INFO:root:Epoch[0] Batch [5000]	Speed: 155.38 samples/sec	accuracy=0.142578	top_k_accuracy_5=0.326016
INFO:root:Epoch[0] Resetting Data Iterator
INFO:root:Epoch[0] Time cost=8270.641
INFO:root:Saved checkpoint to "model/resnet-imagenet-152-0-0001.params"
INFO:root:Epoch[0] Validation-accuracy=0.158283
INFO:root:Epoch[0] Validation-top_k_accuracy_5=0.365812
INFO:root:Epoch[1] Batch [50]	Speed: 158.47 samples/sec	accuracy=0.139375	top_k_accuracy_5=0.326250
INFO:root:Epoch[1] Batch [100]	Speed: 155.30 samples/sec	accuracy=0.145469	top_k_accuracy_5=0.337344
INFO:root:Epoch[1] Batch [150]	Speed: 155.27 samples/sec	accuracy=0.143906	top_k_accuracy_5=0.324766
INFO:root:Epoch[1] Batch [200]	Speed: 155.27 samples/sec	accuracy=0.146563	top_k_accuracy_5=0.338594
INFO:root:Epoch[1] Batch [250]	Speed: 155.25 samples/sec	accuracy=0.140547	top_k_accuracy_5=0.330469
INFO:root:Epoch[1] Batch [300]	Speed: 155.27 samples/sec	accuracy=0.146172	top_k_accuracy_5=0.335234
INFO:root:Epoch[1] Batch [350]	Speed: 155.28 samples/sec	accuracy=0.146719	top_k_accuracy_5=0.340313
INFO:root:Epoch[1] Batch [400]	Speed: 155.28 samples/sec	accuracy=0.150547	top_k_accuracy_5=0.342266
INFO:root:Epoch[1] Batch [450]	Speed: 155.32 samples/sec	accuracy=0.152031	top_k_accuracy_5=0.344219
INFO:root:Epoch[1] Batch [500]	Speed: 155.28 samples/sec	accuracy=0.155938	top_k_accuracy_5=0.355234
INFO:root:Epoch[1] Batch [550]	Speed: 155.33 samples/sec	accuracy=0.159609	top_k_accuracy_5=0.352187
INFO:root:Epoch[1] Batch [600]	Speed: 155.24 samples/sec	accuracy=0.152031	top_k_accuracy_5=0.347266
INFO:root:Epoch[1] Batch [650]	Speed: 155.24 samples/sec	accuracy=0.162500	top_k_accuracy_5=0.354609
INFO:root:Epoch[1] Batch [700]	Speed: 155.19 samples/sec	accuracy=0.159453	top_k_accuracy_5=0.352578
INFO:root:Epoch[1] Batch [750]	Speed: 155.28 samples/sec	accuracy=0.157500	top_k_accuracy_5=0.355078
INFO:root:Epoch[1] Batch [800]	Speed: 155.25 samples/sec	accuracy=0.157656	top_k_accuracy_5=0.355312
INFO:root:Epoch[1] Batch [850]	Speed: 155.31 samples/sec	accuracy=0.168047	top_k_accuracy_5=0.366563
INFO:root:Epoch[1] Batch [900]	Speed: 155.24 samples/sec	accuracy=0.162656	top_k_accuracy_5=0.363750
INFO:root:Epoch[1] Batch [950]	Speed: 155.25 samples/sec	accuracy=0.161719	top_k_accuracy_5=0.359687
INFO:root:Epoch[1] Batch [1000]	Speed: 155.30 samples/sec	accuracy=0.169453	top_k_accuracy_5=0.372891
INFO:root:Epoch[1] Batch [1050]	Speed: 155.25 samples/sec	accuracy=0.167734	top_k_accuracy_5=0.372656
INFO:root:Epoch[1] Batch [1100]	Speed: 155.24 samples/sec	accuracy=0.176797	top_k_accuracy_5=0.375312
INFO:root:Epoch[1] Batch [1150]	Speed: 155.32 samples/sec	accuracy=0.170313	top_k_accuracy_5=0.376406
INFO:root:Epoch[1] Batch [1200]	Speed: 155.34 samples/sec	accuracy=0.168516	top_k_accuracy_5=0.380469
INFO:root:Epoch[1] Batch [1250]	Speed: 155.22 samples/sec	accuracy=0.172656	top_k_accuracy_5=0.378672
INFO:root:Epoch[1] Batch [1300]	Speed: 155.28 samples/sec	accuracy=0.168594	top_k_accuracy_5=0.374844
INFO:root:Epoch[1] Batch [1350]	Speed: 155.26 samples/sec	accuracy=0.176094	top_k_accuracy_5=0.388125
INFO:root:Epoch[1] Batch [1400]	Speed: 155.26 samples/sec	accuracy=0.174687	top_k_accuracy_5=0.385547
INFO:root:Epoch[1] Batch [1450]	Speed: 155.28 samples/sec	accuracy=0.175000	top_k_accuracy_5=0.382344
INFO:root:Epoch[1] Batch [1500]	Speed: 155.26 samples/sec	accuracy=0.178359	top_k_accuracy_5=0.381875
INFO:root:Epoch[1] Batch [1550]	Speed: 155.29 samples/sec	accuracy=0.181641	top_k_accuracy_5=0.388437
INFO:root:Epoch[1] Batch [1600]	Speed: 155.37 samples/sec	accuracy=0.171797	top_k_accuracy_5=0.381094
INFO:root:Epoch[1] Batch [1650]	Speed: 155.30 samples/sec	accuracy=0.182578	top_k_accuracy_5=0.386406
INFO:root:Epoch[1] Batch [1700]	Speed: 155.33 samples/sec	accuracy=0.182891	top_k_accuracy_5=0.399062
INFO:root:Epoch[1] Batch [1750]	Speed: 155.27 samples/sec	accuracy=0.178516	top_k_accuracy_5=0.392188
INFO:root:Epoch[1] Batch [1800]	Speed: 155.30 samples/sec	accuracy=0.182500	top_k_accuracy_5=0.397969
INFO:root:Epoch[1] Batch [1850]	Speed: 155.30 samples/sec	accuracy=0.188750	top_k_accuracy_5=0.403203
INFO:root:Epoch[1] Batch [1900]	Speed: 155.31 samples/sec	accuracy=0.187734	top_k_accuracy_5=0.397188
INFO:root:Epoch[1] Batch [1950]	Speed: 155.31 samples/sec	accuracy=0.192734	top_k_accuracy_5=0.406172
INFO:root:Epoch[1] Batch [2000]	Speed: 155.33 samples/sec	accuracy=0.196484	top_k_accuracy_5=0.406250
INFO:root:Epoch[1] Batch [2050]	Speed: 155.27 samples/sec	accuracy=0.188984	top_k_accuracy_5=0.406250
INFO:root:Epoch[1] Batch [2100]	Speed: 155.28 samples/sec	accuracy=0.191641	top_k_accuracy_5=0.407187
INFO:root:Epoch[1] Batch [2150]	Speed: 155.35 samples/sec	accuracy=0.189219	top_k_accuracy_5=0.410625
INFO:root:Epoch[1] Batch [2200]	Speed: 155.33 samples/sec	accuracy=0.195547	top_k_accuracy_5=0.406875
INFO:root:Epoch[1] Batch [2250]	Speed: 155.32 samples/sec	accuracy=0.196406	top_k_accuracy_5=0.408672
INFO:root:Epoch[1] Batch [2300]	Speed: 155.34 samples/sec	accuracy=0.199531	top_k_accuracy_5=0.420469
INFO:root:Epoch[1] Batch [2350]	Speed: 155.34 samples/sec	accuracy=0.201328	top_k_accuracy_5=0.417109
INFO:root:Epoch[1] Batch [2400]	Speed: 155.38 samples/sec	accuracy=0.201875	top_k_accuracy_5=0.420156
INFO:root:Epoch[1] Batch [2450]	Speed: 155.31 samples/sec	accuracy=0.201484	top_k_accuracy_5=0.429375
INFO:root:Epoch[1] Batch [2500]	Speed: 155.33 samples/sec	accuracy=0.200078	top_k_accuracy_5=0.416719
INFO:root:Epoch[1] Batch [2550]	Speed: 155.31 samples/sec	accuracy=0.201875	top_k_accuracy_5=0.430078
INFO:root:Epoch[1] Batch [2600]	Speed: 155.28 samples/sec	accuracy=0.202031	top_k_accuracy_5=0.422266
INFO:root:Epoch[1] Batch [2650]	Speed: 155.29 samples/sec	accuracy=0.208203	top_k_accuracy_5=0.426094
INFO:root:Epoch[1] Batch [2700]	Speed: 155.37 samples/sec	accuracy=0.205156	top_k_accuracy_5=0.428906
INFO:root:Epoch[1] Batch [2750]	Speed: 155.32 samples/sec	accuracy=0.207891	top_k_accuracy_5=0.431406
INFO:root:Epoch[1] Batch [2800]	Speed: 155.30 samples/sec	accuracy=0.208750	top_k_accuracy_5=0.431875
INFO:root:Epoch[1] Batch [2850]	Speed: 155.28 samples/sec	accuracy=0.210938	top_k_accuracy_5=0.437031
INFO:root:Epoch[1] Batch [2900]	Speed: 155.37 samples/sec	accuracy=0.217891	top_k_accuracy_5=0.438906
INFO:root:Epoch[1] Batch [2950]	Speed: 155.36 samples/sec	accuracy=0.207266	top_k_accuracy_5=0.426406
INFO:root:Epoch[1] Batch [3000]	Speed: 155.32 samples/sec	accuracy=0.214453	top_k_accuracy_5=0.439766
INFO:root:Epoch[1] Batch [3050]	Speed: 155.39 samples/sec	accuracy=0.209531	top_k_accuracy_5=0.437969
INFO:root:Epoch[1] Batch [3100]	Speed: 155.32 samples/sec	accuracy=0.216328	top_k_accuracy_5=0.441016
INFO:root:Epoch[1] Batch [3150]	Speed: 155.31 samples/sec	accuracy=0.218984	top_k_accuracy_5=0.450313
INFO:root:Epoch[1] Batch [3200]	Speed: 155.33 samples/sec	accuracy=0.219297	top_k_accuracy_5=0.444688
